Deutsch;Englisch;Daari;Ukrainisch;arabisch
A wie Affe;A;A;A;A
E wie Esel;E;E;E;E
I wie Igel;I;I;I;I
O wie otto;O;O;O;O
U wie Uhu;U;U;U;U
BA wie Bahn;BA;BA;BA;BA
BE wie Bernd;BE;BE;BE;BE
BI wie Bison;BI;BI;BI;BI
BO wie Bonus;BO;BO;BO;BO
BU wie Bus;BU;BU;BU;BU
AB wie aber;AB;AB;AB;AB
Eb wie Eber;EB;EB;EB;EB
IB wie Iban;IB;IB;IB;IB
OB wie oben;OB;OB;OB;OB
UB wie U-Bahn;UB;UB;UB;UB
DA wie Dame;DA;DA;DA;DA
DE wie Denken;DE;DE;DE;DE
DI wie Dienstag;DI;DI;DI;DI
DO wie Donnerstag;DO;DO;DO;DO
DU wie Durst;DU;DU;DU;DU
AD wie Adam;AD;AD;AD;AD
ED wie Edamer;ED;ED;ED;ED
ID wie Identität;ID;ID;ID;ID
OD wie Oder;OD;OD;OD;OD
UD wie Udo;UD ;UD ;UD ;UD 
FA wie Familie;FA;FA;FA;FA
Fe wie Ferien;FE;FE;FE;FE
Fi wie Fink;FI;FI;FI;FI
Fo wie Fohlen;FO;FO;FO;FO
Fu wie Fußball;FU;FU;FU;FU
Af wie Affe;AF;AF;AF;AF
Ef wie Efeu;EF;EF;EF;EF
If wie Ifo;IF;IF;IF;IF
of wie offen;OF;OF;OF;OF
uf wie ufo;UF;UF;UF;UF
ga wie gans;GA;GA;GA;GA
ge wie gehen;GE;GE;GE;GE
gi wie ginster;GI;GI;GI;GI
go wie gong;GO;GO;GO;GO
gu wie gunst;GU;GU;GU;GU
ag wie agentur;AG;AG;AG;AG
eg wie egal;EG;EG;EG;EG
ig wie igel;IG;IG;IG;IG
og wie oger;OG;OG;OG;OG
ug wie uganda;UG;UG;UG;UG
ha wie hase;HA;HA;HA;HA
he wie herde;HE;HE;HE;HE
hi wie hinten;HI;HI;HI;HI
ho wie hort;HO ;HO ;HO ;HO 
hu wie huch;HU;HU;HU;HU
ja wie jagen;JA;JA;JA;JA
je wie jenseits;JE;JE;JE;JE
ji wie ji jitsu;JI;JI;JI;JI
jo wie joggen;JO;JO;JO;JO
ju wie jurte;JU;JU;JU;JU
ka wie kante;KA;KA;KA;KA
ke wie kern;KE;KE;KE;KE
ki wie kind;KI;KI;KI;KI
ko wie konrad;KO;KO;KO;KO
ku wie kunst;KU;KU;KU;KU
ak wie aktion;AK;AK;AK;AK
ek wie ekel;EK;EK;EK;EK
ik wie ikone;IK;IK;IK;IK
ok wie okay;OK;OK;OK;OK
uk wie ukraine;UK;UK;UK;UK
la wie lama;LA;LA;LA;LA
le wie lehm;LE;LE;LE;LE
li wie licht;LI;LI;LI;LI
lo wie lorenz;LO;LO;LO;LO
lu wie luchs;LU;LU;LU;LU
al wie alle;AL;AL;AL;AL
el wie ellenbogen;EL;EL;EL;EL
il wie iltis;IL;IL;IL;IL
ol wie oldie;OL;OL;OL;OL
ul wie ulm;UL;UL;UL;UL
